2025-03-24 11:35:54,929 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(61.0, -94.0), points=4
2025-03-24 11:35:54,942 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(61.0, -96.0), points=4
2025-03-24 11:35:54,997 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(61.0, -96.0), points=4
2025-03-24 11:35:55,003 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(61.0, -97.0), points=4
2025-03-24 11:35:55,018 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(61.0, -98.0), points=4
2025-03-24 11:35:55,023 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(60.0, -100.0), points=4
2025-03-24 11:35:55,030 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(60.0, -100.0), points=4
2025-03-24 11:35:55,037 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(59.0, -102.0), points=4
2025-03-24 11:35:55,046 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(59.0, -104.0), points=4
2025-03-24 11:35:55,051 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(59.0, -104.0), points=4
2025-03-24 11:35:55,058 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(59.0, -106.0), points=4
2025-03-24 11:35:55,069 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(59.0, -107.0), points=4
2025-03-24 11:35:55,072 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(59.0, -109.0), points=4
2025-03-24 11:35:55,085 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(58.0, -111.0), points=4
2025-03-24 11:35:55,095 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(58.0, -112.0), points=4
2025-03-24 11:35:55,098 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(57.0, -112.0), points=4
2025-03-24 11:35:55,109 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(57.0, -113.0), points=4
2025-03-24 11:35:55,119 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(57.0, -114.0), points=4
2025-03-24 11:35:55,127 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(57.0, -115.0), points=4
2025-03-24 11:35:55,133 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(57.0, -116.0), points=4
2025-03-24 11:35:55,141 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(57.0, -117.0), points=4
2025-03-24 11:35:55,146 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(57.0, -118.0), points=4
2025-03-24 11:35:55,158 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(57.0, -120.0), points=4
2025-03-24 11:35:55,166 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(57.0, -122.0), points=4
2025-03-24 11:35:55,166 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(57.0, -123.0), points=4
2025-03-24 11:35:55,175 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(56.0, -124.0), points=4
2025-03-24 11:35:55,180 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(56.0, -125.0), points=4
2025-03-24 11:35:55,190 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(55.0, -126.0), points=4
